VPOL.1	TPHA.1	TBLA.1	NDAI.1	NCAS.1	KNAG.1	KAFR.1	CGLA.1	SUVACBS7001.1	SMIKIFO1815.1	SCERREF.1	ANC	ZROU	TDEL	KLAC	EGOS	ECYM	LKLU	LTHE	LWAL	SCERREF.2	SMIKIFO1815.2	SUVACBS7001.2	CGLA.2	KAFR.2	KNAG.2	NCAS.2	NDAI.2	TBLA.2	TPHA.2	VPOL.2
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SCERREF_YAL068C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPOL_Kpol_1049.17	TPHA_TPHA0H03090	TBLA_TBLA0A04300	NDAI_NDAI0H02030	NCAS_NCAS0A07650	KNAG_KNAG0E04190	KAFR_KAFR0I00180	CGLA_CAGL0D00220g	SUVACBS7001_Suva_1.8	SMIKIFO1815_Smik_1.7	SCERREF_YAL059W	ANC_Anc_7.4	ZROU_ZYRO0C00440g	TDEL_TDEL0H02030	KLAC_KLLA0F00484g	EGOS_ADR419C	ECYM_Ecym_5002	LKLU_SAKL0D14850g	LTHE_KLTH0D00638g	LWAL_Kwal_26.6745	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPOL_Kpol_1010.26	TPHA_TPHA0E00620	TBLA_TBLA0F01510	NDAI_NDAI0E04590	NCAS_NCAS0E02990	KNAG_KNAG0C04330	KAFR_KAFR0G01100	CGLA_CAGL0M09405g	SUVACBS7001_Suva_2.14	SMIKIFO1815_Smik_2.16	SCERREF_YBL103C	ANC_Anc_7.438	ZROU_ZYRO0F13222g	TDEL_TDEL0C03010	KLAC_KLLA0E06513g	EGOS_ADR067W	ECYM_Ecym_8083	LKLU_SAKL0F13563g	LTHE_KLTH0C05544g	LWAL_Kwal_27.10598	NA	NA	NA	NA	NA	NA	NA	NA	TBLA_TBLA0I00930	NA	NA
VPOL_Kpol_397.10	TPHA_TPHA0A01400	TBLA_TBLA0H01090	NDAI_NDAI0J00790	NCAS_NCAS0B03310	KNAG_KNAG0A04970	KAFR_KAFR0B05910	CGLA_CAGL0E00935g	SUVACBS7001_Suva_2.331	SMIKIFO1815_Smik_4.411	SCERREF_YDR167W	ANC_Anc_8.360	ZROU_ZYRO0F14256g	TDEL_TDEL0F04840	KLAC_KLLA0D17204g	EGOS_AGL155W	ECYM_Ecym_4214	LKLU_SAKL0H14696g	LTHE_KLTH0G11352g	LWAL_Kwal_27.11345	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZROU_ZYRO0E05434g	NA	KLAC_KLLA0F23012g	NA	NA	LKLU_SAKL0D07854g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KLAC_KLLA0F23221g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KLAC_KLLA0F23331g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KLAC_KLLA0F23573g	NA	ECYM_Ecym_5415	LKLU_SAKL0E10516g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KLAC_KLLA0F24486g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPOL_Kpol_397.9	TPHA_TPHA0A01390	TBLA_TBLA0H01080	NDAI_NDAI0J00760	NCAS_NCAS0B03300	KNAG_KNAG0A04960	KAFR_KAFR0B05920	CGLA_CAGL0E00913g	SUVACBS7001_Suva_2.332	SMIKIFO1815_Smik_4.412	SCERREF_YDR168W	ANC_Anc_8.361	ZROU_ZYRO0F14278g	TDEL_TDEL0F04850	KLAC_KLLA0D17226g	EGOS_AGL154W	ECYM_Ecym_4213	LKLU_SAKL0H14674g	LTHE_KLTH0G11330g	LWAL_Kwal_27.11349	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KLAC_KLLA0F24948g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPOL_Kpol_1036.94	TPHA_TPHA0A01380	TBLA_TBLA0A04190	NDAI_NDAI0J00750	NCAS_NCAS0B03290	KNAG_KNAG0A02780	KAFR_KAFR0B05940	CGLA_CAGL0E00891g	SUVACBS7001_Suva_2.333	SMIKIFO1815_Smik_4.413	SCERREF_YDR169C	ANC_Anc_8.363	ZROU_ZYRO0F14322g	TDEL_TDEL0F04870	KLAC_KLLA0D17270g	EGOS_AGL152C	ECYM_Ecym_4211	LKLU_SAKL0H14630g	LTHE_KLTH0G11286g	LWAL_Kwal_27.11355	NA	NA	NA	NA	KAFR_KAFR0H02070	KNAG_KNAG0A04950	NCAS_NCAS0C03060	NDAI_NDAI0G02370	TBLA_TBLA0H01070	TPHA_TPHA0C00560	VPOL_Kpol_397.8
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KLAC_KLLA0F27841g	NA	NA	LKLU_SAKL0E12034g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KLAC_KLLA0F28105g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPOL_Kpol_1036.97	TPHA_TPHA0C00530	TBLA_TBLA0A04220	NDAI_NDAI0A01230	NCAS_NCAS0B03230	KNAG_KNAG0A04910	KAFR_KAFR0B05990	CGLA_CAGL0E00847g	SUVACBS7001_Suva_2.334	SMIKIFO1815_Smik_4.414	SCERREF_YDR170C	ANC_Anc_8.368	ZROU_ZYRO0F14432g	TDEL_TDEL0F04920	KLAC_KLLA0D17358g	EGOS_AGL147C	ECYM_Ecym_4206	LKLU_SAKL0H14520g	LTHE_KLTH0F09196g	LWAL_Kwal_23.3401	NA	NA	NA	NA	NA	NA	NA	NA	TBLA_TBLA0H01040	NA	NA
